x,y,z,c,t
225,1362,783,5,1
1384,488,1293,7,2
1815,1516,59,8,6
171,1681,1308,6,3
1360,1132,674,1,1
1423,424,580,8,3
133,117,2094,4,4
235,609,1559,2,1
596,1525,414,4,2
1608,649,2259,9,7
1526,2107,2193,7,4
2217,1344,1438,7,4
891,1210,1495,7,6
307,637,2034,6,9
1217,1331,115,7,6
186,2174,779,4,3
675,1113,1001,3,2
258,985,1820,5,2
1878,1919,1847,8,5
299,1319,2143,3,1
1357,1178,2095,2,1
499,1335,1072,4,4
460,454,771,3,2
1223,1110,1709,8,5
1607,2240,534,4,2
1147,645,2420,8,3
2164,2496,2044,8,9
172,1829,1762,8,5
2257,439,1099,7,6
2428,1171,58,4,2
1033,228,1868,4,1
735,1960,600,1,1
208,2157,274,6,4
1524,515,573,7,10
534,2281,1323,7,6
1809,1051,724,5,3
682,2016,1221,5,3
1569,28,2368,4,2
2102,616,253,6,6
1864,772,335,6,2
1705,175,2456,8,4
1669,948,1533,5,4
2347,701,1334,4,3
2064,389,1999,8,3
2131,2153,1423,5,2
1341,2361,1383,7,5
1495,572,1668,7,8
2248,946,486,1,1
1873,748,936,6,6
2169,1058,783,7,2
1205,219,2301,8,8
1513,1814,2000,4,1
2019,586,1581,3,2
649,1710,111,6,5
585,1542,1645,6,4
514,159,587,11,7
859,1124,1561,4,4
2461,63,326,4,2
591,1451,239,5,2
2326,307,1695,8,5
88,578,1099,5,2
1701,766,1851,1,1
446,444,1637,4,2
2357,1714,1252,6,5
1474,894,235,1,2
874,2350,263,4,1
1750,966,1347,4,3
1676,1754,1380,2,2
1162,2320,60,7,6
2353,63,511,6,4
2476,2074,2495,5,4
1649,847,2163,7,3
2497,998,497,4,5
254,1378,2323,6,1
1560,322,442,5,2
2320,1515,1170,4,3
741,598,1304,4,3
386,816,2083,4,4
1243,2473,754,5,3
2418,2414,177,4,2
1214,2166,1407,7,8
408,66,2041,8,4
1429,1079,631,7,4
2087,2419,1122,8,7
1441,1277,12,1,1
1613,1237,299,3,2
1261,1723,1215,6,6
1334,1129,2272,8,10
